cuisine,avg_rating,positive_sentiment,review_count,median_price,rank_score
Halal,3.85546875,72.0703125,512,2.0,0.534168201696739
Himalayan/Nepalese,3.8787061994609164,71.15902964959568,371,2.0,0.5331141136759459
Tuscan,3.8688760806916425,70.46109510086455,694,2.0,0.5307421904357132
Sushi Bars,3.76392811296534,69.33247753530168,7790,2.0,0.530377035088459
Food Court,3.75,73.61111111111111,72,1.0,0.529393127436081
Macarons,3.8076923076923075,71.15384615384616,52,2.0,0.5267337440703216
Creperies,3.7915904936014626,71.29798903107861,547,2.0,0.5266546512375165
Irish Pub,3.7590361445783134,71.6867469879518,166,2.0,0.5245176309618769
Chicken Wings,3.7768963807635103,68.6911254338126,4034,1.0,0.5233516725199462
British,3.737827715355805,71.16104868913857,534,2.0,0.5218004354106737
Fondue,4.0,63.63636363636363,11,3.0,0.5199314836949904
Club Crawl,3.819277108433735,67.46987951807229,166,2.0,0.516821913025195
Herbal Shops,3.619718309859155,71.83098591549296,71,2.0,0.5133352996756809
Basque,3.68,70.0,50,3.0,0.5127660907820307
Barbeque,3.722790138304269,66.56644618159952,3326,2.0,0.511364687096135
Hookah Bars,3.653907496012759,69.6969696969697,627,2.0,0.5106583906328227
Buffets,3.7042944785276073,68.09815950920245,815,2.0,0.5103150703613941
Noodles,3.704266321913381,66.7420814479638,3094,2.0,0.5099870073747141
Tea Rooms,3.6774193548387095,68.81720430107528,279,1.0,0.5093814979168942
Pasta Shops,3.717391304347826,67.3913043478261,92,2.0,0.5080844498772576
Tex-Mex,3.6238130021913806,68.88239590942294,1369,2.0,0.5069578487586082
Fast Food,3.6224844720496896,64.70807453416148,8050,2.0,0.5052968956520425
Bubble Tea,3.6507402422611035,66.01615074024227,2972,1.0,0.5032062935122549
Gelato,3.6226130653266333,66.38190954773869,1990,2.0,0.5003774761455533
Chinese,3.5994152046783627,63.57069143446853,5814,2.0,0.49631540000022506
Szechuan,3.648129423660263,63.70070778564207,989,2.0,0.49278881482438963
Pakistani,3.55985598559856,65.25652565256526,1111,2.0,0.4903960263697973
Hot Pot,3.6697936210131332,61.72607879924953,533,2.0,0.4878980056893886
Golf,3.5491803278688523,64.75409836065575,122,,0.4863865619126684
Imported Food,3.789473684210526,57.89473684210527,38,1.0,0.4854349243691439
Soup,3.494266392237577,62.77565421934725,3401,2.0,0.4813191479223933
Meat Shops,3.4595141700404857,64.77732793522267,494,3.0,0.479691996363167
Active Life,3.5057471264367814,63.2183908045977,174,2.0,0.47829240384304716
Wraps,3.6094890510948905,60.21897810218978,274,2.0,0.47799126750985915
Hong Kong Style Cafe,3.475,61.66666666666667,120,1.0,0.4710195702578261
Vietnamese,3.390279114533205,59.33589990375361,2078,1.0,0.4602742385697334
Dim Sum,3.396511627906977,57.906976744186046,860,2.0,0.4544999467927181
Hotels & Travel,3.382978723404255,57.446808510638306,47,,0.4506712683764647
Beaches,3.382978723404255,57.446808510638306,47,,0.4506712683764647
Social Clubs,3.0833333333333335,58.333333333333336,12,1.0,0.42862720955103517
Ethnic Grocery,3.0526315789473686,52.63157894736842,38,1.0,0.40903939007887286
Butcher,2.925925925925926,55.55555555555556,27,3.0,0.40737157903351995
Mongolian,3.071129707112971,51.04602510460251,239,2.0,0.4061342941659682
Cantonese,3.024793388429752,46.28099173553719,242,2.0,0.38803290818542935
