date,avg_sentiment,review_count
2008-07-01,0.8181818181818182,11
2008-07-02,0.7272727272727273,11
2008-07-03,0.0,2
2008-07-04,0.6666666666666666,3
2008-07-05,0.5,4
2008-07-06,0.5714285714285714,14
2008-07-07,0.8333333333333334,12
2008-07-08,1.0,4
2008-07-09,0.8,10
2008-07-10,0.875,8
2008-07-11,0.6666666666666666,6
2008-07-12,1.0,1
2008-07-13,1.0,1
2008-07-14,0.8571428571428571,7
2008-07-15,0.7777777777777778,9
2008-07-16,1.0,14
2008-07-17,0.4444444444444444,9
2008-07-18,0.7142857142857143,7
2008-07-19,0.5,8
2008-07-20,1.0,3
2008-07-21,0.7857142857142857,14
2008-07-22,0.625,8
2008-07-23,0.5,8
2008-07-24,1.0,13
2008-07-25,0.8,5
2008-07-26,0.75,4
2008-07-27,1.0,7
2008-07-28,0.8888888888888888,9
2008-07-29,0.6363636363636364,11
2008-07-30,0.7142857142857143,7
2008-07-31,1.0,2
2008-08-01,1.0,2
2008-08-02,1.0,2
2008-08-03,0.6,5
2008-08-04,0.8235294117647058,17
2008-08-05,0.75,8
2008-08-06,0.5714285714285714,7
2008-08-07,0.6,5
2008-08-08,0.5714285714285714,7
2008-08-09,0.5,4
2008-08-10,1.0,1
2008-08-11,0.35714285714285715,14
2008-08-12,0.7,10
2008-08-13,0.6666666666666666,12
2008-08-14,0.8181818181818182,11
2008-08-15,0.5,4
2008-08-16,1.0,4
2008-08-17,0.7142857142857143,7
2008-08-18,0.8,5
2008-08-19,1.0,6
2008-08-20,0.6,15
2008-08-21,1.0,3
2008-08-22,0.75,4
2008-08-23,0.6666666666666666,15
2008-08-24,0.5,8
2008-08-25,0.7857142857142857,14
2008-08-26,0.6666666666666666,6
2008-08-27,1.0,1
2008-08-28,1.0,8
2008-08-29,0.5,4
2008-08-30,0.75,8
2008-08-31,0.8888888888888888,9
2008-09-01,0.875,8
2008-09-02,0.8,5
2008-09-03,0.7647058823529411,17
2008-09-04,0.5,10
2008-09-05,0.6666666666666666,9
2008-09-06,0.75,8
2008-09-07,1.0,8
2008-09-08,0.8181818181818182,11
2008-09-09,0.5,6
2008-09-10,0.7142857142857143,7
2008-09-11,1.0,3
2008-09-12,0.5,2
2008-09-13,0.8181818181818182,11
2008-09-14,1.0,1
2008-09-15,0.6,5
2008-09-16,0.875,8
2008-09-17,0.8,5
2008-09-18,0.6,5
2008-09-19,0.875,8
2008-09-20,0.7,10
2008-09-21,1.0,6
2008-09-22,0.5,8
2008-09-23,0.4,5
2008-09-24,0.4444444444444444,9
2008-09-25,0.5,4
2008-09-26,0.3333333333333333,3
2008-09-27,0.3333333333333333,3
2008-09-28,0.75,4
2008-09-29,0.9,10
2008-09-30,0.875,8
2008-10-01,0.625,8
2008-10-02,1.0,5
2008-10-04,1.0,1
2008-10-05,0.6363636363636364,11
2008-10-06,0.8,15
2008-10-07,0.7142857142857143,14
2008-10-08,0.5,8
2008-10-09,1.0,3
2008-10-10,0.625,8
2008-10-11,1.0,1
2008-10-12,1.0,1
2008-10-13,0.75,4
2008-10-14,1.0,3
2008-10-15,1.0,1
2008-10-16,0.6,5
2008-10-17,0.8,5
2008-10-18,0.8,5
2008-10-19,1.0,5
2008-10-20,1.0,2
2008-10-21,0.6875,16
2008-10-22,0.4,5
2008-10-23,0.9,10
2008-10-24,0.6666666666666666,9
2008-10-26,1.0,4
2008-10-27,0.6923076923076923,13
2008-10-28,0.6363636363636364,11
2008-10-29,0.6,5
2008-10-30,0.75,4
2008-10-31,0.6666666666666666,3
2008-11-01,0.75,4
2008-11-02,0.6666666666666666,3
2008-11-03,0.0,1
2008-11-04,0.7142857142857143,7
2008-11-05,1.0,5
2008-11-06,1.0,2
2008-11-07,0.75,4
2008-11-08,1.0,3
2008-11-09,0.8461538461538461,13
2008-11-10,0.6,5
2008-11-11,1.0,7
2008-11-12,1.0,3
2008-11-13,0.6666666666666666,3
2008-11-14,1.0,1
2008-11-15,1.0,3
2008-11-16,0.5,2
2008-11-17,0.5,2
2008-11-18,0.6363636363636364,11
2008-11-19,1.0,4
2008-11-20,1.0,5
2008-11-21,0.5833333333333334,12
2008-11-22,1.0,2
2008-11-23,1.0,6
2008-11-24,1.0,3
2008-11-25,0.75,8
2008-11-26,1.0,3
2008-11-27,0.6666666666666666,6
2008-11-29,1.0,2
2008-11-30,1.0,1
2008-12-01,0.7272727272727273,11
2008-12-02,0.875,16
2008-12-03,0.7142857142857143,7
2008-12-04,1.0,1
2008-12-05,0.8,5
2008-12-06,1.0,2
2008-12-07,1.0,2
2008-12-08,0.8571428571428571,7
2008-12-09,1.0,9
2008-12-10,0.5,4
2008-12-11,0.5,4
2008-12-12,1.0,3
2008-12-14,0.75,4
2008-12-15,0.7142857142857143,7
2008-12-16,0.5,6
2008-12-17,0.6666666666666666,6
2008-12-18,0.75,4
2008-12-19,0.8333333333333334,6
2008-12-20,0.6666666666666666,12
2008-12-21,0.8,10
2008-12-22,0.8333333333333334,6
2008-12-23,0.6666666666666666,3
2008-12-24,0.8333333333333334,12
2008-12-25,0.5,2
2008-12-26,0.6666666666666666,3
2008-12-27,1.0,2
2008-12-28,0.6666666666666666,6
2008-12-29,0.8888888888888888,9
2008-12-30,0.45454545454545453,11
2008-12-31,0.7142857142857143,7
2009-01-01,0.8,5
2009-01-02,1.0,4
2009-01-03,0.7647058823529411,17
2009-01-04,0.5,14
2009-01-05,0.6,5
2009-01-06,0.42857142857142855,7
2009-01-07,0.75,8
2009-01-08,1.0,5
2009-01-09,0.6,10
2009-01-10,0.6666666666666666,3
2009-01-11,0.6428571428571429,14
2009-01-12,0.8,5
2009-01-13,0.7142857142857143,14
2009-01-14,0.3333333333333333,3
2009-01-15,0.6923076923076923,13
2009-01-16,0.5,2
2009-01-17,1.0,5
2009-01-18,0.6666666666666666,6
2009-01-19,0.6666666666666666,6
2009-01-20,0.5714285714285714,7
2009-01-21,0.7272727272727273,11
2009-01-22,0.6428571428571429,14
2009-01-23,0.8,5
2009-01-24,0.5,4
2009-01-25,1.0,3
2009-01-26,0.6363636363636364,11
2009-01-27,0.8,5
2009-01-28,0.6363636363636364,11
2009-01-29,1.0,5
2009-01-30,0.8,10
2009-01-31,0.8333333333333334,6
2009-02-01,1.0,6
2009-02-02,0.5,2
2009-02-03,1.0,2
2009-02-04,0.4,5
2009-02-05,0.5,10
2009-02-06,0.75,4
2009-02-07,0.8571428571428571,7
2009-02-08,1.0,3
2009-02-09,0.9166666666666666,12
2009-02-10,0.6666666666666666,6
2009-02-11,0.5,10
2009-02-12,0.5,6
2009-02-13,1.0,4
2009-02-14,0.7777777777777778,9
2009-02-15,0.6,5
2009-02-16,0.7333333333333333,15
2009-02-17,0.7142857142857143,14
2009-02-18,0.4,5
2009-02-19,0.75,12
2009-02-20,0.42857142857142855,14
2009-02-21,0.8888888888888888,18
2009-02-22,0.7142857142857143,7
2009-02-23,0.75,12
2009-02-24,0.9090909090909091,11
2009-02-25,1.0,3
2009-02-26,0.625,8
2009-02-27,0.8571428571428571,7
2009-02-28,0.8181818181818182,11
2009-03-01,0.875,8
2009-03-02,0.6666666666666666,12
2009-03-03,0.6666666666666666,6
2009-03-04,1.0,5
2009-03-05,0.5555555555555556,9
2009-03-06,0.75,4
2009-03-07,0.7142857142857143,7
2009-03-08,1.0,7
2009-03-09,1.0,9
2009-03-10,0.9333333333333333,15
2009-03-11,0.9090909090909091,11
2009-03-12,1.0,6
2009-03-13,0.7333333333333333,15
2009-03-14,0.6875,16
2009-03-15,0.6,10
2009-03-16,0.7142857142857143,21
2009-03-17,0.8571428571428571,7
2009-03-18,0.7,10
2009-03-19,0.9090909090909091,11
2009-03-20,1.0,1
2009-03-21,0.25,4
2009-03-22,0.8571428571428571,7
2009-03-23,0.8888888888888888,9
2009-03-24,0.75,12
2009-03-25,0.7777777777777778,9
2009-03-26,0.7777777777777778,9
2009-03-27,0.8333333333333334,6
2009-03-28,0.7272727272727273,11
2009-03-29,0.7619047619047619,21
2009-03-30,0.7857142857142857,14
2009-03-31,0.8125,16
2009-04-01,0.875,16
2009-04-02,0.7142857142857143,7
2009-04-03,0.7142857142857143,7
2009-04-04,1.0,1
2009-04-05,0.625,8
2009-04-06,0.75,4
2009-04-07,0.7647058823529411,17
2009-04-08,0.6,5
2009-04-09,0.6363636363636364,22
2009-04-10,0.5384615384615384,13
2009-04-11,0.8888888888888888,9
2009-04-12,0.6363636363636364,11
2009-04-13,0.625,16
2009-04-14,0.8181818181818182,11
2009-04-15,0.6666666666666666,6
2009-04-16,0.7777777777777778,9
2009-04-17,0.6666666666666666,3
2009-04-18,0.75,4
2009-04-19,0.7272727272727273,11
2009-04-20,0.5555555555555556,9
2009-04-21,0.8571428571428571,14
2009-04-22,0.75,8
2009-04-23,0.8571428571428571,7
2009-04-24,0.3333333333333333,6
2009-04-25,1.0,3
2009-04-26,1.0,10
2009-04-27,0.875,8
2009-04-28,0.7222222222222222,18
2009-04-29,0.7142857142857143,7
2009-04-30,0.9166666666666666,12
2009-05-01,0.75,4
2009-05-02,0.6,5
2009-05-03,0.6666666666666666,3
2009-05-04,0.8,10
2009-05-05,0.875,8
2009-05-06,1.0,4
2009-05-07,1.0,4
2009-05-08,0.5,4
2009-05-09,0.8333333333333334,6
2009-05-10,0.8461538461538461,13
2009-05-11,0.7142857142857143,7
2009-05-12,0.625,8
2009-05-13,0.5,2
2009-05-14,0.8,5
2009-05-15,0.875,8
2009-05-16,0.7142857142857143,7
2009-05-17,0.5714285714285714,7
2009-05-18,0.9166666666666666,12
2009-05-19,0.7142857142857143,7
2009-05-20,0.7777777777777778,9
